date,open,close,high,low,volume
2025/6/20,29.59,29.529,29.63,29.506,"1,012.00"
2025/6/19,29.55,29.621,29.63,29.532,"1,238.00"
2025/6/18,29.59,29.542,29.605,29.504,"1,110.00"
2025/6/17,29.51,29.535,29.535,29.46,"1,012.00"
2025/6/16,29.65,29.52,29.66,29.494,"1,094.00"
2025/6/13,29.64,29.668,29.68,29.502,"1,747.00"
2025/6/12,29.9,29.66,29.9,29.625,"1,582.00"
2025/6/11,29.93,29.92,29.95,29.88,"1,089.00"
2025/6/10,29.93,29.955,29.955,29.905,"1,012.00"
2025/6/9,29.96,29.948,29.97,29.938,826
2025/6/6,29.9,29.931,29.939,29.897,"1,076.00"
2025/6/5,29.92,29.922,29.93,29.85,"1,517.00"
2025/6/4,30.02,29.952,30.02,29.933,"1,329.00"
2025/6/3,29.97,30.005,30.01,29.95,"1,297.00"
2025/6/2,29.9,29.988,30.036,29.87,"1,619.00"
2025/5/29,29.96,29.929,30.005,29.894,"1,693.00"
2025/5/28,29.94,29.91,29.955,29.87,945
2025/5/27,29.92,29.953,29.953,29.82,"1,448.00"
2025/5/26,30,29.935,30.04,29.857,"1,323.00"
2025/5/23,30.07,30.023,30.07,30,"1,067.00"
2025/5/22,30.11,30.07,30.11,30.001,"1,455.00"
2025/5/21,30.16,30.158,30.169,30.09,"1,341.00"
2025/5/20,30.2,30.179,30.21,30.155,864
2025/5/19,30.16,30.205,30.225,30.125,926
2025/5/16,30.17,30.172,30.21,30.088,"1,535.00"
2025/5/15,30.29,30.189,30.29,30.136,"1,281.00"
2025/5/14,30.42,30.284,30.42,30.252,"1,337.00"
2025/5/13,30.31,30.455,30.46,30.255,"1,470.00"
2025/5/12,30.29,30.316,30.316,30.185,"1,286.00"
2025/5/9,30.36,30.308,30.36,30.254,"1,710.00"
2025/5/8,30.3,30.303,30.325,30.25,"1,289.00"
2025/5/7,30.26,30.295,30.295,30.138,"1,487.00"
2025/5/6,30.125,30.28,30.295,29.988,"2,331.00"
2025/5/5,30.91,30.145,30.91,29.59,"3,387.00"
2025/5/2,32.1,31.064,32.105,30.77,"2,248.00"
2025/4/30,32.24,32.017,32.24,31.942,"2,276.00"
2025/4/29,32.44,32.229,32.44,32.204,"1,593.00"
